[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] POST   /events                   --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).CreateEvent-fm (4 handlers)
[GIN-debug] GET    /events/:id               --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetEvent-fm (4 handlers)
[GIN-debug] PUT    /events/:id               --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).UpdateEvent-fm (4 handlers)
[GIN-debug] DELETE /events/:id               --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).DeleteEvent-fm (4 handlers)
[GIN-debug] GET    /events/nearby            --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetEventsByLocation-fm (4 handlers)
[GIN-debug] GET    /events/upcoming          --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetUpcomingEvents-fm (4 handlers)
[GIN-debug] POST   /events/:id/register      --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).RegisterForEvent-fm (5 handlers)
[GIN-debug] DELETE /events/:id/unregister    --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).UnregisterFromEvent-fm (5 handlers)
[GIN-debug] GET    /events/:id/attendees     --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetEventAttendees-fm (5 handlers)
[GIN-debug] GET    /events/user              --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetUserEvents-fm (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8082
[GIN] 2026/03/14 - 21:16:38 | 400 | 18.775µs |       127.0.0.1 | GET      "/events/search?q=1%27+AND+SLEEP%283%29%23"
[GIN] 2026/03/14 - 21:16:38 | 404 |  1.665µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:16:38 | 400 | 16.164µs |       127.0.0.1 | GET      "/events/search?q=1%27+AND+%271%27%3D%271"
[GIN] 2026/03/14 - 21:16:38 | 404 |  1.625µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:16:38 | 400 | 18.183µs |       127.0.0.1 | GET      "/events/search?q=1%27+AND+%271%27%3D%272"
[GIN] 2026/03/14 - 21:16:38 | 404 |  2.269µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:16:50 | 404 |  5.972µs |       127.0.0.1 | GET      "/events"

2026/03/14 21:16:50 [31;1m/home/bobrcurva/Desktop/screen-rotation/backend/event-service/internal/repository/event_repository.go:24 [35;1mrecord not found
[0m[33m[124.575ms] [34;1m[rows:0][0m SELECT * FROM "events" WHERE "events"."id" = 1 AND "events"."deleted_at" IS NULL ORDER BY "events"."id" LIMIT 1
[GIN] 2026/03/14 - 21:16:50 | 404 |  139.3ms |       127.0.0.1 | GET      "/events/1"

2026/03/14 21:16:50 [31;1m/home/bobrcurva/Desktop/screen-rotation/backend/event-service/internal/repository/event_repository.go:24 [35;1mrecord not found
[0m[33m[1.095ms] [34;1m[rows:0][0m SELECT * FROM "events" WHERE "events"."id" = 999 AND "events"."deleted_at" IS NULL ORDER BY "events"."id" LIMIT 1
[GIN] 2026/03/14 - 21:16:50 | 404 |   1.68ms |       127.0.0.1 | GET      "/events/999"
[GIN] 2026/03/14 - 21:16:50 | 400 | 70.721µs |       127.0.0.1 | GET      "/events/search?q=test"
[GIN] 2026/03/14 - 21:17:06 | 400 |  15.52ms |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 |   1.71ms |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 121.118µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 114.152µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 157.62µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 349.051µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 74.887µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 67.399µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 |  60.83µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 |   2.64ms |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 47.299µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 48.033µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 |   2.15ms |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 33.193µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 26.603µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 36.175µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 53.521µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 36.376µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 42.326µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 22.532µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 |   1.35ms |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 21.465µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 22.131µs |       127.0.0.1 | POST     "/events"
