[GIN] 2026/03/16 - 11:39:52 | 429 | 27.621µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:52 | 429 | 40.179µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:52 | 429 | 29.743µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:52 | 429 | 30.976µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:39:52 | 429 | 32.639µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:39:52 | 429 | 36.259µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:39:52 | 429 | 27.884µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:39:52 | 429 | 99.032µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:39:53 | 429 | 28.634µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:39:53 | 429 | 27.026µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:39:53 | 429 | 27.022µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:39:53 | 401 | 38.143µs |       127.0.0.1 | GET      "/profile"
[GIN] 2026/03/16 - 11:39:53 | 401 | 35.132µs |       127.0.0.1 | GET      "/profile"
[GIN] 2026/03/16 - 11:39:53 | 401 |   70.4µs |       127.0.0.1 | GET      "/profile"
[GIN] 2026/03/16 - 11:39:53 | 401 | 28.151µs |       127.0.0.1 | PUT      "/profile"
[GIN] 2026/03/16 - 11:39:53 | 401 |  27.97µs |       127.0.0.1 | PUT      "/profile"
[GIN] 2026/03/16 - 11:39:53 | 401 | 32.848µs |       127.0.0.1 | PUT      "/profile"
[GIN] 2026/03/16 - 11:39:53 | 401 | 42.516µs |       127.0.0.1 | PUT      "/profile"
[GIN] 2026/03/16 - 11:39:53 | 401 | 22.167µs |       127.0.0.1 | PUT      "/profile/avatar"
[GIN] 2026/03/16 - 11:39:53 | 401 | 26.487µs |       127.0.0.1 | PUT      "/profile/avatar"
[GIN] 2026/03/16 - 11:39:53 | 401 |  26.35µs |       127.0.0.1 | PUT      "/profile/avatar"
[GIN] 2026/03/16 - 11:39:53 | 401 | 24.787µs |       127.0.0.1 | GET      "/users/search?q=john"
[GIN] 2026/03/16 - 11:39:53 | 401 | 52.057µs |       127.0.0.1 | GET      "/users/search?q=john"
[GIN] 2026/03/16 - 11:39:54 | 401 | 51.926µs |       127.0.0.1 | GET      "/users/search?q="
[GIN] 2026/03/16 - 11:39:54 | 401 | 27.432µs |       127.0.0.1 | GET      "/users/search?q=john&limit=5"
[GIN] 2026/03/16 - 11:39:54 | 401 | 27.316µs |       127.0.0.1 | GET      "/users/search?q=john&limit=abc"
[GIN] 2026/03/16 - 11:39:54 | 401 | 49.101µs |       127.0.0.1 | GET      "/users/search?q=john&limit=-1"
[GIN] 2026/03/16 - 11:39:54 | 401 | 24.851µs |       127.0.0.1 | GET      "/users/suggestions"
[GIN] 2026/03/16 - 11:39:54 | 401 | 51.654µs |       127.0.0.1 | GET      "/users/suggestions"
[GIN] 2026/03/16 - 11:39:54 | 401 | 27.195µs |       127.0.0.1 | GET      "/users/suggestions?limit=5"
[GIN] 2026/03/16 - 11:39:54 | 401 | 51.768µs |       127.0.0.1 | POST     "/friends/request"
[GIN] 2026/03/16 - 11:39:54 | 401 | 26.946µs |       127.0.0.1 | POST     "/friends/request"
[GIN] 2026/03/16 - 11:39:54 | 401 | 35.685µs |       127.0.0.1 | POST     "/friends/request"
[GIN] 2026/03/16 - 11:39:54 | 401 | 25.793µs |       127.0.0.1 | POST     "/friends/request"
[GIN] 2026/03/16 - 11:39:54 | 401 | 26.314µs |       127.0.0.1 | POST     "/friends/request"
[GIN] 2026/03/16 - 11:39:54 | 401 |  23.66µs |       127.0.0.1 | PUT      "/friends/request/1/accept"
[GIN] 2026/03/16 - 11:39:54 | 401 | 28.686µs |       127.0.0.1 | PUT      "/friends/request/1/accept"
[GIN] 2026/03/16 - 11:39:55 | 401 | 34.375µs |       127.0.0.1 | PUT      "/friends/request/abc/accept"
[GIN] 2026/03/16 - 11:39:55 | 401 | 30.897µs |       127.0.0.1 | PUT      "/friends/request/1/reject"
[GIN] 2026/03/16 - 11:39:55 | 401 | 26.822µs |       127.0.0.1 | PUT      "/friends/request/1/reject"
[GIN] 2026/03/16 - 11:39:55 | 401 | 23.887µs |       127.0.0.1 | GET      "/friends"
[GIN] 2026/03/16 - 11:39:55 | 401 | 27.059µs |       127.0.0.1 | GET      "/friends"
[GIN] 2026/03/16 - 11:39:55 | 401 | 22.354µs |       127.0.0.1 | DELETE   "/friends/2"
[GIN] 2026/03/16 - 11:39:55 | 401 |  27.52µs |       127.0.0.1 | DELETE   "/friends/2"
[GIN] 2026/03/16 - 11:39:55 | 401 |  26.96µs |       127.0.0.1 | DELETE   "/friends/abc"
[GIN] 2026/03/16 - 11:39:55 | 404 |  2.538µs |       127.0.0.1 | GET      "/health"
[GIN] 2026/03/16 - 11:39:55 | 404 |   3.28µs |       127.0.0.1 | GET      "/"
[GIN] 2026/03/16 - 11:39:55 | 404 |  2.464µs |       127.0.0.1 | GET      "/invalid"
[GIN] 2026/03/16 - 11:39:55 | 404 |  2.246µs |       127.0.0.1 | GET      "/register"
[GIN] 2026/03/16 - 11:39:55 | 404 |  2.358µs |       127.0.0.1 | DELETE   "/login"
[GIN] 2026/03/16 - 11:39:55 | 429 | 38.495µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:55 | 429 | 27.655µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:56 | 429 | 34.469µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:56 | 429 |   33.1µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:56 | 429 | 28.641µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:56 | 429 | 31.052µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:56 | 429 | 28.438µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:39:56 | 429 | 29.138µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:56 | 429 |  35.13µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:56 | 429 | 27.274µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:56 | 429 | 31.507µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:56 | 429 | 39.141µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:56 | 429 | 33.695µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:56 | 429 | 33.125µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:56 | 429 | 27.715µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:56 | 429 | 29.263µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:56 | 429 | 28.832µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:56 | 429 | 109.768µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:57 | 429 | 28.071µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:57 | 429 | 29.133µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:39:57 | 429 | 29.645µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:40:02 | 204 | 27.358µs |       127.0.0.1 | OPTIONS  "/register"
[GIN] 2026/03/16 - 11:40:02 | 400 | 115.918µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:40:02 | 401 | 30.692µs |       127.0.0.1 | GET      "/profile"
[GIN] 2026/03/16 - 11:41:01 | 404 |  5.377µs |       127.0.0.1 | GET      "/"
[GIN] 2026/03/16 - 11:41:01 | 400 | 127.567µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:01 | 400 |  65.19µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:01 | 400 | 94.403µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:01 | 400 | 61.346µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:01 | 400 | 77.832µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:01 | 429 | 29.333µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:01 | 429 | 28.449µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:01 | 429 | 35.263µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:01 | 429 | 29.586µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:01 | 429 | 36.886µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:02 | 429 | 33.573µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:02 | 429 | 28.819µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:02 | 429 | 27.132µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:02 | 429 |  29.62µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:02 | 429 | 29.471µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:02 | 429 | 27.701µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:02 | 429 | 48.969µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:41:02 | 429 | 27.643µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:41:02 | 429 | 36.949µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:41:02 | 429 | 29.802µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:41:02 | 429 | 37.065µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:41:02 | 429 |  32.34µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:41:02 | 429 | 36.909µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:41:02 | 429 |  51.23µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:41:02 | 401 | 26.786µs |       127.0.0.1 | GET      "/profile"
[GIN] 2026/03/16 - 11:41:02 | 401 | 35.349µs |       127.0.0.1 | GET      "/profile"
[GIN] 2026/03/16 - 11:41:02 | 401 | 54.319µs |       127.0.0.1 | GET      "/profile"
[GIN] 2026/03/16 - 11:41:02 | 401 | 24.591µs |       127.0.0.1 | PUT      "/profile"
[GIN] 2026/03/16 - 11:41:03 | 401 | 26.025µs |       127.0.0.1 | PUT      "/profile"
[GIN] 2026/03/16 - 11:41:03 | 401 | 28.065µs |       127.0.0.1 | PUT      "/profile"
[GIN] 2026/03/16 - 11:41:03 | 401 | 31.506µs |       127.0.0.1 | PUT      "/profile"
[GIN] 2026/03/16 - 11:41:03 | 401 | 29.027µs |       127.0.0.1 | PUT      "/profile/avatar"
[GIN] 2026/03/16 - 11:41:03 | 401 |   30.9µs |       127.0.0.1 | PUT      "/profile/avatar"
[GIN] 2026/03/16 - 11:41:03 | 401 |   28.4µs |       127.0.0.1 | PUT      "/profile/avatar"
[GIN] 2026/03/16 - 11:41:03 | 401 |  26.87µs |       127.0.0.1 | GET      "/users/search?q=john"
[GIN] 2026/03/16 - 11:41:03 | 401 | 43.781µs |       127.0.0.1 | GET      "/users/search?q=john"
[GIN] 2026/03/16 - 11:41:03 | 401 | 47.195µs |       127.0.0.1 | GET      "/users/search?q="
[GIN] 2026/03/16 - 11:41:03 | 401 | 32.043µs |       127.0.0.1 | GET      "/users/search?q=john&limit=5"
[GIN] 2026/03/16 - 11:41:03 | 401 |  49.99µs |       127.0.0.1 | GET      "/users/search?q=john&limit=abc"
[GIN] 2026/03/16 - 11:41:03 | 401 | 27.211µs |       127.0.0.1 | GET      "/users/search?q=john&limit=-1"
[GIN] 2026/03/16 - 11:41:03 | 401 | 33.653µs |       127.0.0.1 | GET      "/users/suggestions"
[GIN] 2026/03/16 - 11:41:03 | 401 | 30.378µs |       127.0.0.1 | GET      "/users/suggestions"
[GIN] 2026/03/16 - 11:41:03 | 401 |  32.43µs |       127.0.0.1 | GET      "/users/suggestions?limit=5"
[GIN] 2026/03/16 - 11:41:03 | 401 | 31.661µs |       127.0.0.1 | POST     "/friends/request"
